variant,algorithm,block_size,phase,repetition,status,bytes_per_second,elapsed_seconds
ollvm-full,AES-128-CBC,16384,warmup,3,OK,43499520.0,1.1176891800000703
ollvm-full,AES-128-CBC,64,warmup,3,OK,21491329.29,1.1186708489999546
gcc,AES-128-CBC,256,warmup,3,OK,380594688.0,1.0182025710000744
gcc,SHA-512,8192,warmup,3,OK,674545664.0,1.0174582220001867
gcc,AES-128-CBC,8192,warmup,3,OK,384032768.0,1.0181350769998971
llvm,AES-128-CBC,8192,warmup,3,OK,418975288.89,1.0180725069999426
optimized,AES-128-CBC,64,warmup,3,OK,162954048.0,1.0175236609998137
llvm,ChaCha20-Poly1305,64,warmup,3,OK,484039175.76,1.017671041000085
llvm,ChaCha20-Poly1305,1024,warmup,3,OK,509238272.0,1.0164546940000037
optimized,ChaCha20-Poly1305,16384,warmup,3,OK,387923968.0,1.0167141239999182
llvm,ChaCha20-Poly1305,16,warmup,3,OK,351980752.0,1.0166837649999252
gcc,ChaCha20-Poly1305,16384,warmup,3,OK,502874112.0,1.0167836859995987
optimized,SHA-512,1024,warmup,3,OK,187553792.0,1.0167640120002943
gcc,ChaCha20-Poly1305,8192,warmup,3,OK,503193600.0,1.01722758599999
optimized,AES-128-CBC,256,warmup,3,OK,212442624.0,1.0169291720003457
balanced,SHA-512,16,warmup,3,OK,19721712.0,1.0182872639998095
balanced,ChaCha20-Poly1305,16384,warmup,3,OK,403144704.0,1.01805012099976
balanced,ChaCha20-Poly1305,64,warmup,3,OK,206789952.0,1.018151880000005
gcc,ChaCha20-Poly1305,1024,warmup,3,OK,499744768.0,1.018096160999903
balanced,ChaCha20-Poly1305,8192,warmup,3,OK,400916480.0,1.0181048809999993
llvm,AES-128-CBC,1024,warmup,3,OK,412423168.0,1.018338137000228
balanced,AES-128-CBC,64,warmup,3,OK,220023360.0,1.0171849829998791
optimized,ChaCha20-Poly1305,256,warmup,3,OK,325061888.0,1.0175585649999448
balanced,AES-128-CBC,16384,warmup,3,OK,375276347.47,1.0173217420001492
balanced,AES-128-CBC,8192,warmup,3,OK,372482048.0,1.0173297940000339
ollvm-full,SHA-512,16384,warmup,3,OK,166576128.0,1.117966092000188
gcc,AES-128-CBC,1024,warmup,3,OK,382716928.0,1.0173726040002293
llvm,SHA-512,1024,warmup,3,OK,560930816.0,1.0169989759997407
balanced,SHA-512,16384,warmup,3,OK,631750656.0,1.0179769020001004
llvm,AES-128-CBC,64,warmup,3,OK,404885888.0,1.0177946470003008
balanced,SHA-512,256,warmup,3,OK,209499904.0,1.0177542029996403
balanced,AES-128-CBC,1024,warmup,3,OK,355472384.0,1.0171958099999756
llvm,AES-128-CBC,256,warmup,3,OK,412835840.0,1.0177497159997984
optimized,SHA-512,16,warmup,3,OK,12685430.3,1.0173341750000873
optimized,ChaCha20-Poly1305,1024,warmup,3,OK,368291840.0,1.017544727999848
balanced,AES-128-CBC,16,warmup,3,OK,101954512.0,1.0177188779998687
llvm,ChaCha20-Poly1305,8192,warmup,3,OK,515457024.0,1.0173168970000006
optimized,ChaCha20-Poly1305,64,warmup,3,OK,226566976.0,1.0167885799996839
optimized,AES-128-CBC,16,warmup,3,OK,89441488.0,1.0176673569999366
gcc,ChaCha20-Poly1305,256,warmup,3,OK,488604444.44,1.017254671000046
ollvm-full,AES-128-CBC,1024,warmup,3,OK,40947712.0,1.1171457479999845
ollvm-full,AES-128-CBC,8192,warmup,3,OK,43715490.91,1.1181482789997972
llvm,SHA-512,256,warmup,3,OK,394323968.0,1.0175720259999252
ollvm-full,SHA-512,256,warmup,3,OK,29567744.0,1.1179457530001855
llvm,SHA-512,16,warmup,3,OK,62320872.73,1.017919007999808
optimized,ChaCha20-Poly1305,16,warmup,3,OK,79026256.0,1.0173812999996699
gcc,SHA-512,64,warmup,3,OK,233801600.0,1.0169809310000346
balanced,SHA-512,1024,warmup,3,OK,418676363.64,1.0171703719997822
gcc,SHA-512,1024,warmup,3,OK,582476800.0,1.017876532000173
optimized,SHA-512,8192,warmup,3,OK,239034368.0,1.0168432630002826
balanced,SHA-512,64,warmup,3,OK,79163136.0,1.0171206429999984
ollvm-full,AES-128-CBC,256,warmup,3,OK,34190080.0,1.1177520330002153
ollvm-full,SHA-512,8192,warmup,3,OK,155197440.0,1.1180337079999845
ollvm-full,ChaCha20-Poly1305,256,warmup,3,OK,55666432.0,1.118212240000048
gcc,AES-128-CBC,16,warmup,3,OK,360118319.19,1.0177584410002964
gcc,AES-128-CBC,16384,warmup,3,OK,383713280.0,1.0179148140000507
ollvm-full,ChaCha20-Poly1305,64,warmup,3,OK,27714112.0,1.1177800520003984
gcc,SHA-512,16384,warmup,3,OK,677314560.0,1.0180957789998502
gcc,SHA-512,16,warmup,3,OK,58615584.0,1.0177483880002
gcc,AES-128-CBC,64,warmup,3,OK,376679424.0,1.01864653299981
llvm,AES-128-CBC,16,warmup,3,OK,381506214.14,1.018115349999789
optimized,SHA-512,256,warmup,3,OK,110174976.0,1.0183298199999626
ollvm-full,SHA-512,1024,warmup,3,OK,79077376.0,1.1185607219999838
ollvm-full,ChaCha20-Poly1305,8192,warmup,3,OK,82321408.0,1.1190805100000034
ollvm-full,ChaCha20-Poly1305,16384,warmup,3,OK,82706432.0,1.1180006670001603
balanced,ChaCha20-Poly1305,1024,warmup,3,OK,374034432.0,1.068201721999685
balanced,ChaCha20-Poly1305,256,warmup,3,OK,326546176.0,1.017748531000052
gcc,ChaCha20-Poly1305,16,warmup,3,OK,341666448.0,1.0178277239997442
gcc,ChaCha20-Poly1305,64,warmup,3,OK,456783709.09,1.0183129990000452
ollvm-full,AES-128-CBC,16,warmup,3,OK,8771952.0,1.118551726000078
llvm,SHA-512,8192,warmup,3,OK,646889472.0,1.0180112799998824
ollvm-full,SHA-512,64,warmup,3,OK,9149248.0,1.1181433169999764
llvm,SHA-512,64,warmup,3,OK,251227520.0,1.0181135010002436
optimized,AES-128-CBC,16384,warmup,3,OK,244899426.26,1.0169330610001452
optimized,SHA-512,16384,warmup,3,OK,242794496.0,1.0171806069997729
ollvm-full,AES-128-CBC,8192,measure,1,OK,43753472.0,1.1184558830000242
gcc,ChaCha20-Poly1305,1024,measure,1,OK,507779878.79,1.017758995999884
llvm,ChaCha20-Poly1305,256,measure,1,OK,501241856.0,1.0172225629999048
optimized,SHA-512,16,measure,1,OK,12602016.0,1.0173517870002797
balanced,ChaCha20-Poly1305,16384,measure,1,OK,407117575.76,1.0176147540000784
optimized,SHA-512,256,measure,1,OK,109797888.0,1.017750979000084
optimized,SHA-512,8192,measure,1,OK,237953024.0,1.017536254999868
llvm,SHA-512,1024,measure,1,OK,568645632.0,1.0174311920000036
ollvm-full,ChaCha20-Poly1305,64,measure,1,OK,28310626.26,1.1178216209996208
ollvm-full,ChaCha20-Poly1305,256,measure,1,OK,55661568.0,1.1184121930000401
balanced,AES-128-CBC,16,measure,1,OK,96907824.0,1.0182819430001473
balanced,ChaCha20-Poly1305,1024,measure,1,OK,375860224.0,1.0171884400001545
ollvm-full,ChaCha20-Poly1305,16384,measure,1,OK,83161212.12,1.1182406289999562
ollvm-full,AES-128-CBC,16,measure,1,OK,8642512.0,1.1182600629999797
ollvm-full,ChaCha20-Poly1305,8192,measure,1,OK,83177761.62,1.118533286999991
ollvm-full,ChaCha20-Poly1305,1024,measure,1,OK,74043392.0,1.1187300430001414
optimized,AES-128-CBC,64,measure,1,OK,161611776.0,1.018939557000067
optimized,SHA-512,64,measure,1,OK,50117696.0,1.0178124650001337
gcc,ChaCha20-Poly1305,64,measure,1,OK,450621568.0,1.0181977699999152
balanced,ChaCha20-Poly1305,64,measure,1,OK,207964379.8,1.018549991999862
balanced,SHA-512,16,measure,1,OK,19722368.0,1.0181964849998622
optimized,AES-128-CBC,16384,measure,1,OK,241516544.0,1.0174407279996558
llvm,ChaCha20-Poly1305,64,measure,1,OK,481537728.0,1.0171044909998272
llvm,SHA-512,256,measure,1,OK,399030784.0,1.0173397880002994
llvm,AES-128-CBC,64,measure,1,OK,405761856.0,1.0170604429999912
ollvm-full,ChaCha20-Poly1305,16,measure,1,OK,8838416.16,1.1176013099998272
ollvm-full,AES-128-CBC,16384,measure,1,OK,44138496.0,1.1184808880002493
llvm,SHA-512,8192,measure,1,OK,643096576.0,1.0172045029999026
balanced,SHA-512,64,measure,1,OK,79993082.83,1.0173884099999668
ollvm-full,AES-128-CBC,1024,measure,1,OK,41524224.0,1.1174350630003573
gcc,SHA-512,8192,measure,1,OK,681144113.13,1.0178301159999137
gcc,ChaCha20-Poly1305,16,measure,1,OK,341419024.0,1.0169267509995734
ollvm-full,SHA-512,256,measure,1,OK,29746944.0,1.1181271149998793
gcc,AES-128-CBC,256,measure,1,OK,381856256.0,1.0176212510000369
ollvm-full,SHA-512,16384,measure,1,OK,170557440.0,1.1175907409997308
balanced,SHA-512,8192,measure,1,OK,597245952.0,1.0183204710001519
gcc,AES-128-CBC,1024,measure,1,OK,382197760.0,1.017514828000003
gcc,SHA-512,16,measure,1,OK,58502400.0,1.0180820949999543
llvm,AES-128-CBC,256,measure,1,OK,411848448.0,1.0176915759998337
gcc,ChaCha20-Poly1305,256,measure,1,OK,480912128.0,1.0173065239996504
balanced,AES-128-CBC,8192,measure,1,OK,372310016.0,1.0172042999997757
optimized,SHA-512,16384,measure,1,OK,239484928.0,1.0171322599999257
llvm,ChaCha20-Poly1305,8192,measure,1,OK,513064960.0,1.0179783160001534
gcc,AES-128-CBC,16384,measure,1,OK,383877120.0,1.0173392530000456
llvm,ChaCha20-Poly1305,16384,measure,1,OK,514293760.0,1.0172231530000317
optimized,SHA-512,1024,measure,1,OK,187881472.0,1.0170127960000173
balanced,AES-128-CBC,16384,measure,1,OK,373424128.0,1.0175313680001636
ollvm-full,AES-128-CBC,64,measure,1,OK,21695744.0,1.1181389450002825
llvm,SHA-512,16384,measure,1,OK,655753216.0,1.0186755129998346
llvm,SHA-512,16,measure,1,OK,63173280.0,1.0180805029999647
balanced,AES-128-CBC,256,measure,1,OK,313081088.0,1.0172084579999137
balanced,AES-128-CBC,64,measure,1,OK,222051712.0,1.0177948229998037
gcc,SHA-512,64,measure,1,OK,236597462.63,1.0174578580003981
llvm,AES-128-CBC,16384,measure,1,OK,413712384.0,1.0181909390003057
optimized,AES-128-CBC,8192,measure,1,OK,235413504.0,1.017044962
ollvm-full,SHA-512,8192,measure,1,OK,155582464.0,1.1175918300000376
optimized,ChaCha20-Poly1305,16384,measure,1,OK,386498560.0,1.0176997120001943
balanced,SHA-512,256,measure,1,OK,209607680.0,1.017119325999829
gcc,AES-128-CBC,64,measure,1,OK,376776576.0,1.0170601790000546
optimized,AES-128-CBC,256,measure,1,OK,210100224.0,1.018026847999863
optimized,ChaCha20-Poly1305,64,measure,1,OK,225313939.39,1.0172729250002703
llvm,AES-128-CBC,8192,measure,1,OK,413106176.0,1.0177566570000636
gcc,AES-128-CBC,16,measure,1,OK,359633098.99,1.017357637999794
balanced,AES-128-CBC,1024,measure,1,OK,355123200.0,1.0174627590004093
llvm,ChaCha20-Poly1305,1024,measure,1,OK,510385152.0,1.0169359599999552
gcc,AES-128-CBC,8192,measure,1,OK,383418368.0,1.0174462999998468
llvm,AES-128-CBC,1024,measure,1,OK,412965888.0,1.0175247239999408
llvm,AES-128-CBC,16,measure,1,OK,377960944.0,1.0173057120000522
balanced,ChaCha20-Poly1305,256,measure,1,OK,327892040.4,1.017488152000169
gcc,ChaCha20-Poly1305,8192,measure,1,OK,506880000.0,1.0175466960004087
gcc,ChaCha20-Poly1305,16384,measure,1,OK,507658240.0,1.0178656070002035
ollvm-full,SHA-512,16,measure,1,OK,2281600.0,1.117698634000135
gcc,SHA-512,1024,measure,1,OK,580700160.0,1.017528792000121
gcc,SHA-512,256,measure,1,OK,403345842.42,1.0175007390002975
ollvm-full,SHA-512,1024,measure,1,OK,79521792.0,1.1180298150002272
balanced,ChaCha20-Poly1305,8192,measure,1,OK,400580608.0,1.0186801139998352
